L22G,L22J,L22N,Pad Name,EIC,ANAREF,ADC,AC,PTC,SLCD,SERCOM,SERCOM,TCTCC,TCC/RTC,COM/RTC,AC-GCLK-SUPC,CCL,pin,name,io,bank,ball,name
47,63,99,PB02,EIC[2],,AIN[10],,,,SC3[0],SC5[0],TC2-WO[0],,RTC-IN[1],SUPC-OUT[1],CCL-OUT[0],99,PB02/EIC[2]/SC3[0]/SC5[0],io,0,B3,PB02
48,64,100,PB03,EIC[3],,AIN[11],,,,SC3[1],SC5[1],TC2-WO[1],,,SUPC-VBAT,,100,PB03/EIC[3]/SC3[1]/SC5[1],io,0,C3,PB03
,5,9,PB04,EIC[4],,AIN[12],AC-AIN[2],XY[10],,,,,,,,,9,PB04/EIC[4],io,0,E1,PB04
,6,10,PB05,EIC[5],,AIN[13],AC-AIN[3],XY[11],,,,,,,,,10,PB05/EIC[5],io,0,F2,PB05
,9,13,PB06,EIC[6],,AIN[14],,XY[12],LP[0],,,,,,,CCL-IN[6],13,PB06/EIC[6]/LP[0],io,1,F1,PB06
,10,14,PB07,EIC[7],,AIN[15],,XY[13],LP[1],,,,,,,CCL-IN[7],14,PB07/EIC[7]/LP[1],io,1,G2,PB07
7,11,15,PB08,EIC[8],,AIN[2],,XY[14],LP[2],,SC3[0],TC0-WO[0],,,,CCL-IN[8],15,PB08/EIC[8]/LP[2]/SC3[0],io,1,G1,PB08
8,12,16,PB09,EIC[9],,AIN[3],,XY[15],LP[3],,SC3[1],TC0-WO[1],,,,CCL-OUT[2],16,PB09/EIC[9]/LP[3]/SC3[1],io,1,H2,PB09
20,24,39,PB11,EIC[11],,,,,LP[21],,SC3[3],TC1-WO[1],TCC-WO[5],,,CCL-OUT[1],39,PB11/EIC[11]/LP[21]/SC3[3],io,1,K6,PB11
,25,40,PB12,EIC[12],,,,,LP[22],SC3[0],,TC0-WO[0],TCC-WO[6],,,,40,PB12/EIC[12]/LP[22]/SC3[0],io,1,K7,PB12
,26,41,PB13,EIC[13],,,,,LP[23],SC3[1],,TC0-WO[1],TCC-WO[7],,,,41,PB13/EIC[13]/LP[23]/SC3[1],io,1,L7,PB13
,27,42,PB14,EIC[14],,,,,LP[24],SC3[2],,TC1-WO[0],,,GCLK-IO[0],CCL-IN[9],42,PB14/EIC[14]/LP[24]/SC3[2],io,1,K8,PB14
,28,43,PB15,EIC[15],,,,,LP[25],SC3[3],,TC1-WO[1],,,GCLK-IO[1],CCL-IN[10],43,PB15/EIC[15]/LP[25]/SC3[3],io,1,L8,PB15
,39,64,PB16,EIC[0],,,,,LP[42],SC5[0],,TC2-WO[0],TCC-WO[4],,GCLK-IO[2],CCL-IN[11],64,PB16/EIC[0]/LP[42]/SC5[0],io,1,F11,PB16
,40,65,PB17,EIC[1],,,,,LP[43],SC5[1],,TC2-WO[1],TCC-WO[5],,GCLK-IO[3],CCL-OUT[3],65,PB17/EIC[1]/LP[43]/SC5[1],io,1,E10,PB17
,,66,PB18,EIC[2],,,,,LP[44],SC5[2],SC3[2],,TCC-WO[0],,,,66,PB18/EIC[2]/LP[44]/SC5[2]/SC3[2],io,1,E11,PB18
,,67,PB19,EIC[3],,,,,LP[45],SC5[3],SC3[3],,TCC-WO[1],,,,67,PB19/EIC[3]/LP[45]/SC5[3]/SC3[3],io,1,D10,PB19
,,68,PB20,EIC[4],,,,,LP[46],SC3[0],SC5[0],,TCC-WO[2],,,,68,PB20/EIC[4]/LP[46]/SC3[0]/SC5[0],io,1,D11,PB20
,,69,PB21,EIC[5],,,,,LP[47],SC3[1],SC5[1],,TCC-WO[3],,,,69,PB21/EIC[5]/LP[47]/SC3[1]/SC5[1],io,1,D9,PB21
37,49,78,PB22,EIC[6],,,,,,SC0[2],SC5[2],TC3-WO[0],TCC-WO[2],USB-SOF_1KHZ,GCLK-IO[0],CCL-IN[0],78,PB22/EIC[6]/SC0[2]/SC5[2],io,0,A9,PB22
38,50,79,PB23,EIC[7],,,,,,SC0[3],SC5[3],TC3-WO[1],TCC-WO[3],,GCLK-IO[1],CCL-OUT[0],79,PB23/EIC[7]/SC0[3]/SC5[3],io,0,A8,PB23
,,80,PB24,EIC[8],,,,,,SC0[0],SC4[0],,TCC-WO[6],,AC-CMP[0],,80,PB24/EIC[8]/SC0[0]/SC4[0],io,0,C9,PB24
,,81,PB25,EIC[9],,,,,,SC0[1],SC4[1],,TCC-WO[7],,AC-CMP[1],,81,PB25/EIC[9]/SC0[1]/SC4[1],io,0,C8,PB25
,59,95,PB30,EIC[14],,,,,,SC1[0],SC5[0],TCC-WO[0],,,,,95,PB30/EIC[14]/SC1[0]/SC5[0],io,0,A3,PB30
,60,96,PB31,EIC[15],,,,,,SC1[1],SC5[1],TCC-WO[1],,,,,96,PB31/EIC[15]/SC1[1]/SC5[1],io,0,C4,PB31
